                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  1.358,                 1.8078,                0.71296,                0.96502,                0.76601,                0.98255,                0.92907,                0.43305,                0.78962,                   0.95,                 0.8857,                  0.254,                 1.5517,                 1.8092,                0.72615,                 0.9782,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3431,                 1.9564,                0.64235,                0.92598,                0.76627,                0.98399,                0.93042,                0.42385,                0.73008,                0.94679,                 0.8705,                0.22773,                 1.5481,                  1.646,                0.69911,                0.97596,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4766,                 2.0815,                0.71208,                0.99968,                0.93105,                   0.85,                0.95443,                0.44306,                0.87141,                    0.8,                0.89813,                0.28092,                 1.5252,                  1.612,                0.68947,                0.96554,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4323,                 2.1642,                0.74712,                 1.0096,                0.94383,                0.84063,                0.94364,                0.47635,                0.82177,                0.92272,                0.92975,                0.32054,                 1.4727,                  1.623,                0.68444,                0.94929,               0.000713,               0.000713,               0.000713
                     67,                  1.299,                 1.7891,                0.72764,                0.94788,                0.94383,                0.84063,                0.94364,                0.47635,                0.82177,                0.92272,                0.92975,                0.32054,                 1.4727,                  1.623,                0.68444,                0.94929,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3288,                 1.9327,                0.69784,                0.93903,                0.89322,                0.83703,                0.93315,                0.48011,                0.77451,                    0.8,                0.82766,                0.25329,                 1.4115,                 1.6585,                0.68515,                0.93765,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.616,                 2.0519,                 0.8124,                 1.0034,                 0.9433,                0.83246,                0.93425,                0.51297,                0.72983,                0.81079,                 0.8358,                0.26377,                 1.3745,                 1.6333,                0.67307,                0.93485,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4109,                 1.8684,                0.70731,                0.94325,                 0.9433,                0.83246,                0.93425,                0.51297,                0.72983,                0.81079,                 0.8358,                0.26377,                 1.3745,                 1.6333,                0.67307,                0.93485,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3859,                 1.9838,                0.73021,                0.95313,                0.91757,                   0.85,                0.94269,                0.50807,                0.78238,                    0.9,                0.87173,                0.23524,                 1.3649,                 1.5814,                0.64832,                0.93396,               0.000614,               0.000614,               0.000614
                     72,                 1.2636,                  1.646,                 0.6884,                  0.935,                 0.9183,                   0.85,                0.95081,                0.49169,                0.70156,                 0.9406,                0.85067,                0.26359,                 1.4149,                 1.5749,                0.63777,                0.93833,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5212,                 1.9289,                0.78899,                0.98005,                 0.9183,                   0.85,                0.95081,                0.49169,                0.70156,                 0.9406,                0.85067,                0.26359,                 1.4149,                 1.5749,                0.63777,                0.93833,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4312,                 1.9809,                0.69518,                 0.9672,                0.87933,                    0.9,                0.95422,                0.48197,                0.65134,                    0.6,                0.60232,                0.18428,                  1.513,                 1.5823,                0.66543,                0.95743,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2813,                 1.7462,                0.67786,                  0.941,                 0.9352,                   0.85,                0.93425,                0.45364,                0.70487,                   0.65,                0.71498,                0.19103,                 1.6019,                 1.6208,                0.69223,                0.97459,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2837,                 1.7854,                0.67981,                0.94627,                 0.9352,                   0.85,                0.93425,                0.45364,                0.70487,                   0.65,                0.71498,                0.19103,                 1.6019,                 1.6208,                0.69223,                0.97459,               0.000515,               0.000515,               0.000515
                     77,                 1.3782,                 1.7293,                0.74926,                  1.005,                0.95065,                   0.85,                0.94602,                0.46191,                0.70965,                   0.65,                 0.6768,                0.14657,                 1.5845,                 1.7262,                0.69414,                0.97439,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2389,                  1.747,                0.63878,                0.93371,                0.96523,                   0.85,                0.91361,                0.45935,                 0.7194,                0.64135,                0.68868,                0.16388,                  1.578,                 1.7726,                0.69307,                 0.9717,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3793,                  1.792,                0.73083,                0.94533,                0.96523,                   0.85,                0.91361,                0.45935,                 0.7194,                0.64135,                0.68868,                0.16388,                  1.578,                 1.7726,                0.69307,                 0.9717,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2709,                  1.907,                0.69963,                0.89868,                0.89023,                   0.85,                0.91214,                0.45855,                0.82789,                    0.8,                  0.842,                0.21876,                 1.5993,                 1.7436,                0.68855,                0.96792,              0.0004358,              0.0004358,              0.0004358
                     81,                   1.26,                 1.5803,                0.68399,                0.95544,                0.86492,                   0.85,                0.89251,                0.44783,                0.82545,                    0.8,                 0.8715,                0.22516,                 1.6407,                 1.6887,                0.68907,                 0.9659,               0.000416,               0.000416,               0.000416
                     82,                  1.292,                 1.6425,                0.67533,                0.95073,                0.86945,                   0.85,                0.91839,                0.44678,                0.81714,                    0.8,                0.90239,                0.29517,                 1.6301,                 1.6446,                0.67717,                0.96307,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2493,                  1.685,                0.68866,                0.94737,                0.86945,                   0.85,                0.91839,                0.44678,                0.81714,                    0.8,                0.90239,                0.29517,                 1.6301,                 1.6446,                0.67717,                0.96307,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3377,                 1.8407,                0.66848,                0.92658,                 0.8012,                0.80632,                0.87769,                0.46325,                 0.8012,                0.80632,                0.82522,                0.31159,                 1.6116,                 1.5999,                0.65861,                0.95914,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1151,                 1.6424,                0.62116,                0.86271,                 0.8466,                    0.8,                0.87069,                 0.4622,                 0.8088,                   0.85,                0.82205,                0.29467,                 1.5634,                 1.6098,                0.65064,                0.95322,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3209,                  1.665,                0.67325,                 0.9686,                 0.8466,                    0.8,                0.87069,                 0.4622,                 0.8088,                   0.85,                0.82205,                0.29467,                 1.5634,                 1.6098,                0.65064,                0.95322,               0.000317,               0.000317,               0.000317
